================================================================================
TABLA DE REFERENCIA PARA SECCIONES 4 Y 5 -- RESULTADOS Y CONTROL
(Guia de lectura y justificacion de datos para el informe final)
================================================================================

Esta tabla contiene las observaciones de estado, valores medidos y las referencias exactas (archivos, bases de datos y lineas de codigo) que respaldan las secciones de Resultados (4) y Control (5).

| Seccion | Variable / Tarea | Observacion de Estado / Valor Medido | Referencia Exacta de Justificacion |
| :--- | :--- | :--- | :--- |
| **4. Resultados** | Correlacion Fina en Region Informativa | Spearman: +0.172; Pearson: +0.287 (medido sobre n=153 candidatos con senal dentro de la cuenca util). | INFORME_SECCIONES_6_7.txt lineas 319-332; CALCULOS_INFORME.txt [C10] lineas 139-160; Figura fig_validacion_gemelo.png. |
| **4. Resultados** | Fuera de la Region de Entrenamiento (Voltajes al Azar) | El haz muere plano a una distancia media de splat de ~325 mm (RK4) vs. ~324-338 mm (SIMION). | CALCULOS_INFORME.txt [C5] lineas 85-93. |
| **4. Resultados** | Fuera de la Region de Entrenamiento (Voltajes en Cero) | Enfoque y deflexion en 0 V estrellan el haz en la pared del tubo en z ~ 80 mm en ambos simuladores. | CALCULOS_INFORME.txt [C5] lineas 85-93. |
| **4. Resultados** | Incertidumbre Fisica (Ruido de Disparo) | Fluctuacion estocastica del haz de SIMION (vuelos identicos dan 63 +- 5 hits a 12.7% de transmision). | CALCULOS_INFORME.txt [C6] lineas 95-103; Ejecucion en vivo de playpen/evaluacion_tareas.py. |
| **4. Resultados** | Incertidumbre de Computo (Sincronizacion) | Fluctuacion de bases sqlite de Optuna debido al entorno de sincronizacion en la nube (OneDrive). | INFORME_SECCIONES_6_7.txt (Nota de integridad de datos inicial, lineas 13-18). |
| **5. Control** | Tarea A: Direccion (Voltajes Optimos del Gemelo) | V3 = 315.6, V6 = -333.7, V9 = -418.1, V10 = 18.9, V11 = -8.5, V12 = -912.6, V15 = 93.2, V18 = -581.0 V. | Base de datos studies/gemelo_db_v2.db y carga del mejor candidato en playpen/evaluacion_tareas.py lineas 39-48. |
| **5. Control** | Tarea A: Direccion (Prediccion del Gemelo) | reach = 0.65 (65% del haz llega a la zona del detector); objetivo J_v2 = 0.161. | Prediccion del twin en playpen/evaluacion_tareas.py lineas 139-141. |
| **5. Control** | Tarea A: Direccion (SIMION Real) | Hits: [70, 59, 61] (Promedio: 63 +- 5 hits de 500 particulas, o 12.7% +- 1.0% de transmision). Representa el 60% del maximo (105 hits). | Vuelo real SIMION en playpen/evaluacion_tareas.py lineas 142-148. |
| **5. Control** | Tarea B: Consigna Inversa (Convergencia Twin) | Desviacion predicha por el twin: (-1.90, +1.37) mm en z = 390 mm, aplicando V15 = 401 V, V18 = -1000 V. | Gauss-Newton en el twin en playpen/evaluacion_tareas.py lineas 154-156. |
| **5. Control** | Tarea B: Consigna Inversa (SIMION Real y Brecha) | Desviacion medida en SIMION: (+10.6, +1.4) mm, con 52 hits. Brecha final real-objetivo: 10.69 mm. | Vuelo real en SIMION en playpen/evaluacion_tareas.py lineas 158-165. |
| **5. Control** | Metodo de Optimizacion Local (Tarea B) | Gauss-Newton amortiguado con busqueda de linea (Line Search) que aproxima el Jacobiano 2x2 local (dO/dV) en el twin. | Algoritmo en playpen/evaluacion_tareas.py lineas 80-125. |
| **5. Control** | Metodo de Optimizacion Global | Algoritmo hibrido TPE / GP-seeded sobre el proxy RK4 y promocion selectiva (K=10 del RK4 + 5 seeds del GP). | INFORME_SECCION_3.txt lineas 11-30; optimizer.py; INSTRUCCIONES_PROXIMA_SESION.md lineas 8-52. |
| **5. Control** | Figuras de Control Disponibles | fig_control_consigna_inversa.png (calibracion de deflexion x/y), fig_haz_en_detector.png, fig_convergencia_gemelo.png. | Carpeta outputs/report_figures/ y script tools/report_figures.py. |

================================================================================
